date,ticker,price
2024-01-01,AAPL,148.71119929505625
2024-01-02,AAPL,148.34847537352573
2024-01-03,AAPL,148.20108815345918
2024-01-04,AAPL,147.49556632629998
2024-01-05,AAPL,148.105642007658
2024-01-06,AAPL,148.7772577712241
2024-01-07,AAPL,148.49491632094328
2024-01-08,AAPL,148.70694964018588
2024-01-09,AAPL,148.36008194997441
2024-01-10,AAPL,148.57381948939124
2024-01-11,AAPL,150.19201638913495
2024-01-12,AAPL,151.5320007097294
2024-01-13,AAPL,151.27243093821522
2024-01-14,AAPL,150.5013106708325
2024-01-15,AAPL,149.801117011755
2024-01-16,AAPL,148.69843423542113
2024-01-17,AAPL,148.99350386656621
2024-01-18,AAPL,149.17378541527657
2024-01-19,AAPL,147.77081888094565
2024-01-20,AAPL,148.28471196237453
