date,ticker,price
2024-01-01,AAPL,150.7995926706584
2024-01-02,AAPL,150.15823905451725
2024-01-03,AAPL,150.79239993777935
2024-01-04,AAPL,148.16027036245376
2024-01-05,AAPL,148.36508251343557
2024-01-06,AAPL,148.0194307335298
2024-01-07,AAPL,148.5908325211968
2024-01-08,AAPL,148.37343798927117
2024-01-09,AAPL,146.0494415986738
2024-01-10,AAPL,144.31267365354745
2024-01-11,AAPL,144.53078462775682
2024-01-12,AAPL,144.01650268187143
2024-01-13,AAPL,143.3213873019421
2024-01-14,AAPL,143.1094039103271
2024-01-15,AAPL,142.92646355021907
2024-01-16,AAPL,145.26204197521128
2024-01-17,AAPL,145.16242084290744
2024-01-18,AAPL,144.79793644119786
2024-01-19,AAPL,146.12360546751745
2024-01-20,AAPL,147.64218550407892
